No.,mTurk_ID,IPAddress,Duration,Pair_no,2,1,0.25,0.0625,0.015625,clean,Paypemt Appropiate?,Comment
27,A2OVWCQ4B9AHFY,65.34.251.61,0:23:41,4,-3.0,-3.0,-3.0,-0.0,-0.3,-2.3,Yes,
27,A2OVWCQ4B9AHFY,65.34.251.61,0:23:41,5,-3.0,-3.0,-3.0,0.0,-0.0,0.0,Yes,
28,A2EI9E6EBZEZO1,70.185.103.7,0:13:29,1,-3.0,-1.9,-1.3,0.6,-0.1,0.0,Yes,None
28,A2EI9E6EBZEZO1,70.185.103.7,0:13:29,2,-2.1,-2.3,-2.1,-0.7,0.7,0.0,Yes,None
28,A2EI9E6EBZEZO1,70.185.103.7,0:13:29,3,-2.4,-2.2,-1.9,-1.1,-1.1,0.0,Yes,None
28,A2EI9E6EBZEZO1,70.185.103.7,0:13:29,4,-2.1,-0.9,-2.2,0.7,-0.0,-0.5,Yes,None
28,A2EI9E6EBZEZO1,70.185.103.7,0:13:29,5,-2.3,-2.4,-2.0,0.5,-0.0,0.0,Yes,None
29,A1LB8HVSXK66U0,199.200.107.139,0:14:35,1,-2.9,-3.0,-2.5,2.2,2.3,0.2,Yes,"Interesting survey, I used some cheap chinese in ear monitors and I could easily tell the quality differences"
29,A1LB8HVSXK66U0,199.200.107.139,0:14:35,2,-3.0,-3.0,2.4,2.2,2.9,-0.9,Yes,"Interesting survey, I used some cheap chinese in ear monitors and I could easily tell the quality differences"
29,A1LB8HVSXK66U0,199.200.107.139,0:14:35,3,-3.0,-2.5,-2.4,-1.0,0.3,1.1,Yes,"Interesting survey, I used some cheap chinese in ear monitors and I could easily tell the quality differences"
29,A1LB8HVSXK66U0,199.200.107.139,0:14:35,4,-3.0,-3.0,-2.9,-0.7,1.5,0.1,Yes,"Interesting survey, I used some cheap chinese in ear monitors and I could easily tell the quality differences"
29,A1LB8HVSXK66U0,199.200.107.139,0:14:35,5,-3.0,-3.0,-2.5,2.3,2.0,0.0,Yes,"Interesting survey, I used some cheap chinese in ear monitors and I could easily tell the quality differences"
